movie,link,budget,gross_ww,runtime,rating,genre
Far From Heaven,/title/tt0297884/?ref_=sr_t_1,"['13,500,000']","['29,027,914']",1h 47m,7.3,"['Drama', 'Romance']"
Moonrise Kingdom,/title/tt1748122/?ref_=sr_t_1,"['16,000,000']","['68,264,022']",1h 34m,7.8,"['Adventure', 'Comedy', 'Drama']"
Lost in Translation,/title/tt0335266/?ref_=sr_t_1,"['4,000,000']","['118,686,937']",1h 42m,7.7,"['Comedy', 'Drama']"
A Single Man,/title/tt1315981/?ref_=sr_t_1,"['7,000,000']","['24,964,890']",1h 39m,7.5,"['Crime', 'Drama', 'Romance']"
Toy Story 3,/title/tt0435761/?ref_=sr_t_1,"['200,000,000']","['1,067,316,']",1h 43m,8.3,"['Animation', 'Adventure', 'Comedy']"
I Am Love,/title/tt1226236/?ref_=sr_t_1,"['3,600,000']","['11,815,252']",2h,7.0,"['Drama', 'Romance']"
Donnie Darko,/title/tt0246578/?ref_=sr_t_1,"['6,000,000']","['7,151,570']",1h 53m,8.0,"['Drama', 'Mystery', 'Sci-Fi']"
Inherent Vice,/title/tt1791528/?ref_=sr_t_1,"['20,000,000']","['14,810,975']",2h 28m,6.6,"['Comedy', 'Crime', 'Drama']"
Film socialisme,/title/tt1438535/?ref_=sr_t_1,,,,,
This Is the End,/title/tt1245492/?ref_=sr_t_1,"['32,000,000']","['126,041,322']",1h 47m,6.6,"['Comedy', 'Fantasy']"
Somewhere,/title/tt14097180/?ref_=sr_t_1,,,,,
Almayer's Folly,/title/tt1532530/?ref_=sr_t_1,,,,,
The Story of Marie and Julien,/title/tt0339357/?ref_=sr_t_1,,,,,
Bamboozled,/title/tt0215545/?ref_=sr_t_1,"['10,000,000']","['2,463,650']",2h 15m,6.6,"['Comedy', 'Drama', 'Music']"
Under the Skin,/title/tt1441395/?ref_=sr_t_1,"['13,300,000']","['5,968,016']",1h 48m,6.3,"['Drama', 'Horror', 'Mystery']"
Anomalisa,/title/tt2401878/?ref_=sr_t_1,"['8,000,000']","['5,659,286']",1h 30m,7.3,"['Animation', 'Comedy', 'Drama']"
Madagascar 3: Europe's Most Wanted,/title/tt1277953/?ref_=sr_t_1,"['145,000,000']","['746,921,274']",1h 33m,6.8,"['Animation', 'Adventure', 'Comedy']"
Another Year,/title/tt1431181/?ref_=sr_t_1,"['8,000,000']","['19,722,766']",2h 9m,7.4,"['Comedy', 'Drama']"
The Diving Bell and the Butterfly,/title/tt0401383/?ref_=sr_t_1,,,,,
The Social Network,/title/tt1285016/?ref_=sr_t_1,"['40,000,000']","['224,920,375']",2h,7.8,"['Biography', 'Drama']"
WALL-E,/title/tt0993846/?ref_=sr_t_1,"['100,000,000']","['406,878,233']",3h,8.2,"['Biography', 'Comedy', 'Crime']"
The Son's Room,/title/tt0208990/?ref_=sr_t_1,,,,,
Extraordinary Stories,/title/tt3312748/?ref_=sr_t_1,,,,,
The Assassin,/title/tt0443680/?ref_=sr_t_1,"['30,000,000']","['15,001,776']",2h 40m,7.5,"['Biography', 'Crime', 'Drama']"
Million Dollar Baby,/title/tt0405159/?ref_=sr_t_1,"['30,000,000']","['216,763,646']",2h 12m,8.1,"['Drama', 'Sport']"
Leviathan,/title/tt0097737/?ref_=sr_t_1,"['25,000,000']","['15,704,614']",1h 38m,5.8,"['Adventure', 'Horror', 'Mystery']"
A Touch of Sin,/title/tt2852400/?ref_=sr_t_1,,,,,
Distant,/title/tt0346094/?ref_=sr_t_1,,,,,
A Prophet,/title/tt1235166/?ref_=sr_t_1,"['13,000,000']","['17,874,044']",2h 35m,7.8,"['Crime', 'Drama']"
Blue Is the Warmest Color,/title/tt2278871/?ref_=sr_t_1,"['4,000,000']","['19,465,835']",3h,7.7,"['Drama', 'Romance']"
Moolaadé,/title/tt0416991/?ref_=sr_t_1,,,,,
The Secret in Their Eyes,/title/tt1305806/?ref_=sr_t_1,"['2,000,000']","['35,079,650']",2h 9m,8.2,"['Drama', 'Mystery', 'Romance']"
Oldboy,/title/tt0364569/?ref_=sr_t_1,"['3,000,000']","['17,495,578']",2h,8.4,"['Action', 'Drama', 'Mystery']"
Fat Girl,/title/tt0243255/?ref_=sr_t_1,,,,,
The Orphanage,/title/tt0464141/?ref_=sr_t_1,"['3,400,000']","['78,638,987']",1h 45m,7.4,"['Drama', 'Horror', 'Mystery']"
The Hunt,/title/tt2106476/?ref_=sr_t_1,"['20,000,000']","['15,886,373']",1h 55m,8.3,['Drama']
Spring Breakers,/title/tt2101441/?ref_=sr_t_1,"['5,000,000']","['32,170,399']",Harmony Korine,5.3,"['Crime', 'Drama', 'Thriller']"
My Winnipeg,/title/tt1093842/?ref_=sr_t_1,[],[],1h 20m,7.5,"['Documentary', 'Comedy', 'Drama']"
The Ghost Writer,/title/tt1139328/?ref_=sr_t_1,"['45,000,000']","['60,331,447']",2h 8m,7.2,"['Crime', 'Drama', 'Mystery']"
Moulin Rouge!,/title/tt0203009/?ref_=sr_t_1,"['50,000,000']","['184,928,542']",2h 7m,7.6,"['Drama', 'Musical', 'Romance']"
Star Wars: Episode III – Revenge of the Sith,/title/tt0121766/?ref_=sr_t_1,"['113,000,000']","['868,390,560']",2h 20m,7.6,"['Action', 'Adventure', 'Fantasy']"
Manakamana,/title/tt3103326/?ref_=sr_t_1,,,,,
The Curious Case of Benjamin Button,/title/tt0421715/?ref_=sr_t_1,"['150,000,000']","['335,802,786']",2h 46m,7.8,"['Drama', 'Fantasy', 'Romance']"
"You, The Living",/title/tt0445336/?ref_=sr_t_1,,,,,
Shoot the Messenger,/title/tt0800199/?ref_=sr_t_1,,,,,
Red Leaves,/title/tt9349016/?ref_=sr_t_1,"['4,000,000']",[],Shuqing Shi,4.9,"['Drama', 'Family', 'Romance']"
The Colonial Misunderstanding,/title/tt0474246/?ref_=sr_t_1,,,,,
Restless City,/title/tt1545464/?ref_=sr_t_1,,,,,
Conversations on a Sunday Afternoon,/title/tt0471130/?ref_=sr_t_1,,,,,
Belle,/title/tt28976068/?ref_=sr_t_1,,,,,
Requiem for a Dream,/title/tt0180093/?ref_=sr_t_1,"['4,500,000']","['7,390,108']",1h 42m,8.3,['Drama']
Antichrist,/title/tt0870984/?ref_=sr_t_1,"['11,000,000']","['7,413,863']",1h 48m,6.5,"['Drama', 'Horror', 'Thriller']"
The Child,/title/tt0091129/?ref_=sr_t_1,"['25,000,000']","['79,817,937']",1h 34m,6.0,"['Action', 'Adventure', 'Comedy']"
Kill Bill: Vol. 1,/title/tt0266697/?ref_=sr_t_1,"['30,000,000']","['180,906,076']",1h 51m,8.2,"['Action', 'Crime', 'Thriller']"
Irreversible,/title/tt0290673/?ref_=sr_t_1,,,,,
Amour,/title/tt1602620/?ref_=sr_t_1,"['8,900,000']","['29,664,140']",2h 7m,7.9,['Drama']
Monsoon Wedding,/title/tt0265343/?ref_=sr_t_1,"['7,000,000']","['30,787,356']",1h 54m,7.3,"['Comedy', 'Drama', 'Romance']"
Son of Saul,/title/tt3808342/?ref_=sr_t_1,"['1,500,000']","['6,659,121']",1h 47m,7.4,"['Drama', 'War']"
Thithi,/title/tt4881362/?ref_=sr_t_1,,,,,
No Man's Land,/title/tt0283509/?ref_=sr_t_1,"['2,000,000']","['4,858,869']",1h 38m,7.9,"['Comedy', 'Drama', 'War']"
Waltz with Bashir,/title/tt1185616/?ref_=sr_t_1,"['1,500,000']","['11,179,372']",1h 30m,8.0,"['Documentary', 'Animation', 'Biography']"
In Praise of Love,/title/tt0181912/?ref_=sr_t_1,,,,,
Like Someone In Love,/title/tt1843287/?ref_=sr_t_1,,,,,
Butter on the Latch,/title/tt2252304/?ref_=sr_t_1,,,,,
Heaven Knows What,/title/tt3687186/?ref_=sr_t_1,,,,,
The Future,/title/tt0088763/?ref_=sr_t_1,"['19,000,000']","['383,336,762']",1h 56m,8.5,"['Adventure', 'Comedy', 'Sci-Fi']"
Coma,/title/tt0077355/?ref_=sr_t_1,"['4,500,000']",,,,
The Matchmaker,/title/tt7913934/?ref_=sr_t_1,,,,,
Footnote,/title/tt1445520/?ref_=sr_t_1,,,,,
The Son,/title/tt0107034/?ref_=sr_t_1,"['17,000,000']","['60,613,008']",1h 27m,6.4,"['Drama', 'Thriller']"
You Can Count On Me,/title/tt0203230/?ref_=sr_t_1,"['1,200,000']","['11,242,521']",1h 51m,7.5,['Drama']
Yossi & Jagger,/title/tt0334754/?ref_=sr_t_1,,,,,
"O Brother, Where Art Thou?",/title/tt0190590/?ref_=sr_t_1,"['26,000,000']","['71,870,729']",1h 47m,7.7,"['Adventure', 'Comedy', 'Crime']"
The Babadook,/title/tt2321549/?ref_=sr_t_1,"['2,000,000']","['10,484,459']",1h 34m,6.8,"['Horror', 'Mystery']"
Russian Ark,/title/tt0318034/?ref_=sr_t_1,,,,,
Inside Out,/title/tt22022452/?ref_=sr_t_1,,,,,
Persepolis,/title/tt0808417/?ref_=sr_t_1,"['7,300,000']","['22,783,978']",1h 36m,8.0,"['Animation', 'Biography', 'Drama']"
Mad Max: Fury Road,/title/tt1392190/?ref_=sr_t_1,"['150,000,000']","['380,418,444']",2h,8.1,"['Action', 'Adventure', 'Sci-Fi']"
Attack the Block,/title/tt1478964/?ref_=sr_t_1,"['13,000,000']","['6,206,022']",1h 28m,6.7,"['Action', 'Adventure', 'Comedy']"
Before Sunset,/title/tt0381681/?ref_=sr_t_1,"['2,700,000']","['15,849,759']",Richard Linklater,8.1,"['Drama', 'Romance']"
Ratatouille,/title/tt0382932/?ref_=sr_t_1,"['150,000,000']","['623,726,085']",1h 51m,8.1,"['Animation', 'Adventure', 'Comedy']"
Amores Perros,/title/tt0245712/?ref_=sr_t_1,"['2,000,000']","['20,908,467']",2h 34m,8.1,"['Drama', 'Thriller']"
Minority Report,/title/tt0181689/?ref_=sr_t_1,"['102,000,000']","['358,372,926']",2h 25m,7.6,"['Action', 'Crime', 'Mystery']"
Secret Sunshine,/title/tt0817225/?ref_=sr_t_1,,,,,
